type	names	baking_powder	baking_soda	brown_sugar	butter	buttermilk	cake_mix	cream	egg	flour	juice	lard	margarine	milk	oil	salt	shortening	soymilk	sugar	water	yeast	ingredients
angel-food-cakes	heavenly-angel-food-cake	0.0	0.0	0.0	0.0	0.0	0.0	0.25	21.0	8.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	8.0	0.0	0.0	12 eggs,  1 1/4 cups confectioners' sugar,  1 cup all-purpose flour,  1 1/2 teaspoons cream of tartar,  1 1/2 teaspoons vanilla extract,  1/2 teaspoon almond extract,  1/4 teaspoon salt,  1 cup sugar,
angel-food-cakes	two-part-angel-cake	0.125	0.0	0.0	0.0	0.0	0.0	0.083	10.5	10.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	12.0	2.0	0.0	6 egg whites,  1/2 teaspoon cream of tartar,  1/4 teaspoon salt,  3/4 cup white sugar,  1/2 cup all-purpose flour,  1/2 teaspoon vanilla extract,  6 egg yolks,  3/4 cup white sugar,  1/4 teaspoon salt,  3/4 cup all-purpose flour,  1/4 cup boiling water,  3/4 teaspoon baking powder,  1 teaspoon vanilla extract,
angel-food-cakes	yellow-angel-food-cake	0.0	0.0	0.0	0.0	0.0	0.0	0.167	10.5	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	1 1/2 cups white sugar,  1/2 cup water,  6 eggs, separated,  1 cup all-purpose flour,  1 teaspoon cream of tartar,
biscuits	apple-cider-biscuits	0.5	0.0	0.0	2.664	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.083	0.0	0.0	0.333	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  2 teaspoons sugar,  1/2 teaspoon salt,  1/3 cup cold butter or margarine,  3/4 cup apple cider,  1/8 teaspoon ground cinnamon,
biscuits	baking-powder-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.083	1.75	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	1.0	0.0	0.0	2 cups all-purpose flour,  2 tablespoons sugar,  3 teaspoons baking powder,  1/2 teaspoon cream of tartar,  1/2 teaspoon salt,  1/2 cup shortening,  1 egg,  2/3 cup milk,
biscuits	baking-powder-biscuits-i	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	8.0	0.0	0.083	2.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1/2 teaspoon salt,  1/4 cup shortening,  1 cup milk,
biscuits	baking-powder-biscuits-ii	0.5	0.0	0.0	5.328	5.328	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	2.664	0.167	0.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1 teaspoon salt,  1/3 cup vegetable oil,  2/3 cup buttermilk,
biscuits	baking-powder-drop-biscuits	0.667	0.0	0.0	0.0	0.0	0.0	0.083	1.75	16.0	0.0	0.0	0.0	5.328	0.0	0.083	4.0	0.0	1.0	0.0	0.0	2 cups all-purpose flour,  2 tablespoons sugar,  4 teaspoons baking powder,  1/2 teaspoon cream of tartar,  1/2 teaspoon salt,  1/2 cup shortening,  2/3 cup milk,  1 egg,
biscuits	basic-biscuits	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	6.0	0.0	0.083	4.0	0.0	0.0	0.0	0.0	2 cups all-purpose flour,  1 tablespoon baking powder,  1/2 teaspoon salt,  1/2 cup shortening,  3/4 cup milk,
biscuits	beaten-biscuits	0.042	0.0	0.0	0.0	0.0	0.0	2.664	0.0	16.0	0.0	2.0	0.0	0.0	0.0	0.042	0.0	0.0	0.75	1.0	0.0	2 cups all-purpose flour,  1/4 teaspoon salt,  1/4 teaspoon baking powder,  1 1/2 tablespoons white sugar,  1/4 cup lard, chilled and cut into small pieces,  1/3 cup light cream,  2 tablespoons cold water (optional),
